rozetka_row_id;site_category_id;site_category_name;site_category_visible;site_parent_id;rozetka_parent_id;rozetka_category_name;rozetka_exclude;products_count
4947;4674780;;;;116943;"Лійки для душу";0;0
5742;4674783;;;;116943;"Шлангові під'єднання та перемикаючі вентилі";0;0
5740;4674786;;;;116943;"Шланги для душу";0;0
4688;4674789;;;;116943;"Душові системи";0;0
5384;4674792;;;;4674687;"Сітки для сушки";0;0
4599;4674795;;;;80253;"Графічні планшети та аксесуари";0;0
4346;4674798;;;;4658540;"EDC спорядження";0;0
5493;4674801;;;;4674337;"Тактичні ліхтарі та аксесуари";0;0
4352;4674804;;;;4674687;Автоклави;0;0
5498;4674810;;;;4658540;"Тактичне обладнання та системи РЕБ";0;0
4926;4674813;;;;4648572;"Кулаки поворотні (цапфи)";0;0
5736;4674816;;;;4648572;"Шкворні та комплектуючі";0;0
5441;4674819;;;;4648572;"Стабілізатори підвіски";0;0
5298;4674822;;;;4638559;"Розсада овочів";0;0
5395;4674825;;;;4630454;"Система підготовки та подачі повітря";0;0
5563;4674828;;;;4674825;Турбокомпресори;0;0
5670;4674831;;;;4627283;"Фільтри AdBlue";0;0
5676;4674834;;;;4627283;"Фільтри охолоджуючої рідини";0;0
4783;4674837;;;;4674825;Інтеркулери;0;0
5139;4674840;;;;4674825;"Патрубки системи підготовки та подачі повітря";0;0
4546;4674843;;;;4674825;"Впускні колектори";0;0
4685;4674846;;;;4674825;"Дросельні заслінки";0;0
4895;4674849;;;;4674825;"Корпуси повітряних фільтрів";0;0
4499;4674852;;;;4642672;"Вали двигуна";0;0
5136;4674855;;;;4642672;"Патрубки і клапани вентиляції картера";0;0
4568;4674858;;;;4642672;"ГБЦ та комплектуючі";0;0
5320;4674861;;;;4642672;"Ремені навісного обладнання двигуна";0;0
4923;4674864;;;;4642672;"Кришки головки блоку циліндрів";0;0
4843;4674867;;;;4642672;"Кожухи ременя ГРМ";0;0
5737;4674870;;;;4642672;"Шківи двигуна";0;0
4494;4674873;;;;4673770;"Вакуумні насоси автомобільні";0;0
4500;4674876;;;;4674031;"Вали коробок перемикання передач (КПП)";0;0
5733;4674879;;;;4674031;"Шестерні та синхронізатори КПП";0;0
4580;4674882;;;;4674031;Гідротрансформатори;0;0
4578;4674885;;;;4674031;"Гідроблоки та соленоїди АКПП";0;0
5687;4674888;;;;4674031;"Фрикціони та гальмівні стрічки АКПП";0;0
4720;4674891;;;;4674031;"Запчастини варіаторів автомобіля (CVT)";0;0
4534;4674894;;;;4658540;"Військові килимки та сідачки";0;0
5096;4674897;;;;4644752;"Обладнання для виробництва напівфабрикатів";0;0
4998;4674900;;;;4674687;"Мішки для засолювання";0;0
4668;4674906;;;;4675938;"Дистильована вода";0;0
5035;4674909;;;;4637687;"Чоловічі спортивні футболки";0;0
5148;4674912;;;;277644;"Перехідні рамки для заміни лінз";0;0
4922;4674915;;;;4642712;"Крила автомобільні";0;0
5580;4674918;;;;4642712;"Ущільнювачі та відбійники кузовні";0;0
5152;4674921;;;;4642712;"Петлі автомобільні";0;0
4612;4674924;;;;4642712;"Двері автомобільні";0;0
4799;4674927;;;;4642712;Капоти;0;0
5333;4674933;;;;4642712;"Ролики зсувних дверей";0;0
4706;4674936;;;;4642712;"Заглушки кузовні";0;0
5142;4674939;;;;4642712;"Педалі та педальні вузли";0;0
5022;4674942;;;;4631896;Мотозапчастини;0;0
5710;4674945;;;;4674942;"Циліндро-поршнева група для мотоциклів";0;0
4573;4674948;;;;4674942;"Генератори для мотоциклів";0;0
5703;4674951;;;;4674942;"Ланцюги та зірки приводні";0;0
